"","id","quote","rating","date","reviewnospace"
"13","rn604897399","swindler!",1,"Reviewed 1 week ago
","Buy a ticket with higher price (+$40) so I could arrived earlier. but yesterday evening 10 PM they called to inform that they will change my flight to 9 am instead of 8 am (they changed my flight to the next flight and I will arrived 5 hours late than I supposed to be - this flight should’ve cost $40..."
"14","rn604825754","Nice Budget Airlines",4,"Reviewed 1 week ago
","Lion air is a budget airlines but what you gonna like them because they give a free 20kgs luggage each person for this flight with their cheap price. They can not online check in for international flight."
"15","rn604142446","On time flight",4,"Reviewed 2 weeks ago
","On time flight, this is the 1st time on time flight that i used airlines. Good job. Keep it works lion air!"
"16","rn603958371","Delay is guaranteed ",2,"Reviewed 2 weeks ago
","During our trip through Indonesia we have taken several Lion Air flights and ALL were delayed. Do not book Lion Air if you have any connecting flights! Also, they might change the flight time at any time without informing you, ours was changed to leave one hour earlier - although it finally left two hours later ..."
"17","rn603828852","Cheap flight, free baggage but no meal",3,"Reviewed 2 weeks ago
","Cheap fare with free 20kg luggage allowance. The seating area is quite narrow but still acceptable for a short distance travel. No inflight entertainment. The flight is on time. The fare does not include meals and drinks. But they do sell them in flight. Overall, it is cheap, efficient and reliable."
"18","rn602324003","The worst airline on the planet!",1,"Reviewed 2 weeks ago
","As I sit at the gate entering our 9th hour of delay for a 30min flight I wonder who allowed this collection of disorganised, rude, lazy charlatans to run an airline.We arrived at the airport for our 1055 flight to be told it wasn’t going until 1830. No reason given for this 7 and a half hour delay, no..."
"19","rn602054055","Flight Delay ",1,"Reviewed 2 weeks ago
","It's going to be my first and last time taking this airlines. Worst service ever. They only tell you that your flight is being delay 5mins before boarding time. Estimated delay time was 2 hours and flight was the last flight out. The aircraft that was supposed to fly us to KUL did not even leave KUL To CGK!! The..."
"20","rn601963655","Worst airline in Indonesia ",1,"Reviewed 2 weeks ago
","We have six hours delay Bali to LombokWe change 2 times gate , seems nobody know why we are delay , they don't either apologize, better Garuda , avoid lion air"
"21","rn601069980","Multiple bad experience with Lion Air...",1,"Reviewed 3 weeks ago
","On one flight from Singapore to Jakarta, there wasn't any bus to pick-up passengers from the plane to the terminal. They send only three cars to pick up everyone causing long wait and people rushing to get in the cars.The only reason why I flew with them that day is because they're cheap while Scoot and Jetstar were pricier..."
"22","rn600139694","Worst flight",1,"Reviewed 3 weeks ago
","This is the worst airline I have ever taken. My flight was from Medan to Lombok with transit in Jakarta. My original flight from Medan to Jakarta was cancelled and I was moved to the next flight one hour after, only to find another 90 minutes delay. I couldn't catch the original flight from Jakarta to Lombok and had to..."
"23","rn599753542","Very Disappointed",1,"Reviewed 3 weeks ago
","It was a smooth flight from DPS (JT31 - 2nd July) but the return flight (JT26 - 2nd July 2018) was a mess! The flight was scheduled to depart Jakarta to DPS at 17:55, unfortunately the flight departed at around 22:45, the response from their staff is always : still checking. We’re being given a light snack box, but sitting..."
"24","rn599737489","CONSISTENT..CONSISTENTLY BAD..",1,"Reviewed 3 weeks ago
","delay had become a normal thing for Lion Air. Perhaps LION stands for Late instead of Not flying at all...-Flight supposed to be at 19:30, plane took off at 00:30, 5 hours delayed. excellent, no apologies, not an even smile or empathy, you were given food that cold, and bread and cake that are hard..exceptional service-Passengers played with..."
"25","rn599419887","You pay for what you get",3,"Reviewed 4 weeks ago
","Let’s make this simple you pay almost nothing, so there service is almost nothing. They get you and your bag into the plane and safe at your destination. They sell water and a snack on board. Their flights are almost always delayed. But you get to be on your destination for almost no money. Expect long queuing lines for both..."
"26","rn599416619","Chronically WORST Airline ever!",1,"Reviewed 4 weeks ago
","Just an addition which sound repetitive to the what most of the reviewers commented.Late for almost 75 minutes for a BUSINESS MEETING due to DELAY on their FIRST FLIGHT!Boarding time was at 07.00 AM in the morning and by 07.15 I was told that the flight delayed for 5 minutes.Which ended up in 50 minutes with no..."
"27","rn598412765","The most delayed airline in the history of time",1,"Reviewed 4 weeks ago
","Currently sat in Lombok airport with my flight supposedly taking off in 5 minutes however it has not even left its previous destination. 2 hours late coming in Lombok and 3 hours late going back. An absolute joke of an airline that has chronic delay problems, every single flight is at least an hour delayed except for the first flight..."
"28","rn598032144","Worst airline ever do not use!",1,"Reviewed 4 weeks ago
","We were travelling from Singapore to Bali via Jakarta. When we arrived at check in we were refused entry to the plane because we had no proof of a flight leaving Bali. We told them we were planning to extend our visas by a month and that we did not know when we would be leaving exactly. We asked if..."
"29","rn597974720","Worst airlome ever",1,"Reviewed 4 weeks ago
","Although it's a budget airline the service is poor . The flight has negligible leg space. You can't buy a bottle of water in the flight. Flight attendant are rude and can't speak English. The service is pathetic"
"30","rn597391359","The Worst Airlines",2,"Reviewed 4 weeks ago
","If I could gave review negative star than I would. The flight was delay for 3 hrs, no announcement what so ever and when I looked thru tv monitor for info, it only stated changed time. Kept waiting and waiting for 3hrs delay. Good thing that I didn’t have any flight to continue after but still it was ridiculous. I..."
"31","rn597192161","Legless on LionAir",1,"Reviewed 5 weeks ago
","Sadly, those of us over 5 ft tall and with ""legs"" have to suffer the indignity of flying with Lion Air. My first and LAST time with them for sure. There is absolutely ""no legroom"" and while we understand about no frills flying, it is absurd to believe that they cannot provide some relief especially when ""asked"".Don't even ask..."
"32","rn597191652","Never Again",1,"Reviewed 5 weeks ago
","Well the title says it all. My flight was 3 hrs late, i was lucky i didn t have a connecting flight.Check in is slow and very messy. Seats are not comfortable and not very clean either. To be honest i was also a little worried about my safety due to 20min of bad weather and Lion Air s incidents..."
"33","rn596872565","Always late, always cramped",1,"Reviewed July 16, 2018
","Traveled multiple times with lion air by now and not once have they been on time. This time they announced our 11:30 flight was rescheduled to 7:30 so we had to get out of bed in the middle of the night, only to have it delayed untill after our original departure time resulting in a very long, uncomfortable and unnecessary..."
"34","rn596608516","Comfortable flight",5,"Reviewed July 16, 2018
","Mine was a short flight with Lion air. Small aircraft but interior looked clean. Staff was pleasant and helpful. We arrived Bali 5 minutes early which was quite good. Especially have to mention, ground staff is amazing and very helpful. The girl, named Nym helped a lot with my last minute booking. Ill definitely choose lion air again."
"35","rn596521820","frequent flight delay",2,"Reviewed July 15, 2018
","Experienced frequent flight delay. Within 3 days in a week, the flight was delayed from KUL to Jakarta (2hours delayed), nevertheless, the flight was delayed again from Jakarta to KUL (another 2 hours delayed) on my way return to Msia.Thus, flyer is recommended to well plans the itinerary for any urgent / important meeting / business matter."
"36","rn596421151","Lion air we make you late and lose your bags",1,"Reviewed July 15, 2018
","Worst airline ever. DO NOT ever take this airline ever. Flight delayed for 4 hrs and i lost my bags jt 557. With an absentee owner this airline is doomed. Never going to take lion ever again"
"37","rn595714792","Zero “0” recommendation ",1,"Reviewed July 12, 2018
","Not at all recommended . The reason = my Interconnecting Flight from Bali to Surabaya was delayed from 10 am until late afternoon at 5pm , so they can pool all of the passengers between the morning and late afternoon flights into 1 big airplane , either to save fuel money or not enough pilots to fly. If I could..."
"38","rn595157360","Highly Not Recommended",1,"Reviewed July 11, 2018
","So we have been waiting already at the waiting room. I fell asleep while waiting then checked myphone, I received anhe SMS informing us about the schedule change as well as the aircraft. I was kinda shock as why they sent SMS but not anncouned it directly at the boarding gate. It was deayed for 2 hours. Ok I came..."
"39","rn595137151","Never in time",1,"Reviewed July 10, 2018
","Third flight with lion air. Check-in is always a mess. And the three planes were delayed between 1-2 hours. Also they used to change gate, but they don't explain anything in English... Beware they use multiple name... But always low end service..."
"40","rn594983481","Flying with Lion Air",3,"Reviewed July 10, 2018
","This is the second time i’m using this airlines. The landing not really smooth, and this is the important thing, the crew of the airlines dind’t make sure all the passanger are awake, because when it’s landing, i’m still sleeping, and it’s made me shocked."
"41","rn594906781","First time taking Lion Air, 12hrs delay for a 2hr flight",1,"Reviewed July 10, 2018
","I was flying from Singapore to Jakarta for a weekend trip, leaving Friday night. At first it was delayed for an hour, then 2, then 5, and then 10. 12 hours later, I still have not left Singapore for a 2/3hr flight to Jakarta. It was stupid of me not to leave earlier. They finally gave us options of 1)..."
"42","rn594815032","Absolutely horrific experience! ",1,"Reviewed July 10, 2018
","Honestly I am baffled by how horrific the airlines in Indonesia are. The flight to Lombok is a mere 20 minutes, 20!!!!! We arrived at airport to be told that the flight was cancelled at 11:30 and that they had tried to reach us by phone but couldn’t and by email, there was 20 other people with us in similar..."
"43","rn594696785","Late flights and accumulated delays.",3,"Reviewed July 9, 2018
","Delayed arrival in Kupang led to delayed departure and further delay at Surabaya due to heavy flight traffic and even further delay at Jakarta due to long taxi to terminal. Result was less then 90minutes to collect baggage, and transfer to International Terminal 3 for Garuda flight check-in. We only just made it!Additionally our original flights had been affected..."
"44","rn594408554","One of option to Fly everwhere in Indonesia, but...",3,"Reviewed July 9, 2018
","Can I say this airfare sometimes unresponsible with the passenger?Well, one thing is they can delay for several hours without any reason.I like Lion Air. It is quite cheap flight and I can go anywhere even in a small regency with this.Hopefully, they can fix all the things and make it better."
"45","rn594407755","S U C K S",1,"Reviewed July 9, 2018
","Delayed from 19:45 to 21:15, informed when we were at the waiting room. Yeah, I know the reputation of this airline especially about schedule , it's 80% always delayed.No courtesy from the ground staffs, and no announcement that the plane is ready. It just like we got the ticket for free, so they can do anything to the passengers...."
"46","rn592745798","Never ever again",1,"Reviewed July 3, 2018
","Very bad service. 5 hours to late, nobody says something. No drinks no food. Never go with them again"
"47","rn592723379","Flight delay",1,"Reviewed July 3, 2018
","Unprofessional services by the staff and delays on the flights for 3 hours, not recommended to fly on this flight"
"48","rn592278799","Changed 3 times...!!",2,"Reviewed July 1, 2018
","Honestly, Lion Air always be my last option for the airlines list who I wanna fly with because they have problem in the on-time performance and several times I have had bad situations in delayed flight with Lion including the last experience flying to Solo in the peak season Eid Mubarak. I got a sms 3 days before flight date..."
"49","rn592051051","on schedule",5,"Reviewed June 30, 2018
","After visiting Bromo to see ""Exotica Bromo 2018"", i go back to Lampung. But i had to transit first at Cengkareng, Soekarno Hatta International Airport.i flew with Lion Air JT 0815. It come to Malang on schedule, and we come on board on schedule.As usual, i dont have enough space for my knee when seated. But it's a..."
"50","rn591791941","Allows acoustic guitar as carry on",5,"Reviewed June 29, 2018
","Any airline that allows guitars as carry-on without unnescessary hassle gets 5 stars from me. They underatand the value of instruments and the fact that carrying one on board doesbt affect any other passengers in any manner."
"51","rn591550382","Amazing",5,"Reviewed June 28, 2018
","Flight was cheap. Luggage included. no need to think of add on charges. everything included. staff was great."
"52","rn591294867","Smooth flight",5,"Reviewed June 27, 2018
","Today i fly with LionAir from Lampung to Jakarta flight JT 0241. It's cloudy around Lampung and Jakarta, but we had a smooth flight.No food and drink on board, but it's OK for me, since it's only a 30 minutes flight.Nice take off and landing."
"53","rn591290238","Dont fly with Lion",2,"Reviewed June 27, 2018
","As my own country airlines, iam not perfer to fly with it. My first n last flight.As no queue management, we have to push hard in the queue as everyone coming together to boarding(like in bus station). We have to take bus and long walk to plane. Either in cgk or sin is the same.Inside the cabin is..."
"54","rn591280468","Always Late - It’s The Company Motto",1,"Reviewed June 27, 2018
","Everytime I am traveling with Lion Air whether domestic (around Indonesia) or international, this airline always be the list of one of the top late airline you can have. They always lie to you to justify their late schedule and they always don’t care about accommodating the passager whom would like to change to early flight.It’s very misrepresent that..."
"55","rn590879622","Lion Air Is Good For The Last Resort",2,"Reviewed June 26, 2018
","In the beginning, I was given many chances of flying with this Airline, but recently, I quit totally because it was so unpredictable.In term of responsiveness to the delay, or proper communication to the passengers when the flight was changed or delayed, this Airline was showing their poorest service.The service for checked-in/boarding was slower than average competitors despite..."
"56","rn589605432","Worst staff ever, guaranteed to ruin your day",1,"Reviewed June 21, 2018
","I’m a frequent traveler and have traveled with my very regular sized carry-on suitcase everywhere that I always take with me inside the cabin. This morning at boarding gate one of the Lion Air ground crew decided very rudely that I would not be allowed inside the cabin with this very same baggage. I insisted I had taken it everywhere..."
"57","rn589158855","Lion Air, we promise to be to be late",1,"Reviewed June 20, 2018
","I only fly Lion Air if there is no other option. I can count on my hands how many times the flight has taken off or arrived on time on one hand. I nearly missed a flight as the departure monitor said on schedule at the assigned gate. Yet there was no one there and after thinking I had heard..."
"58","rn588655971","NEVER AGAIN USING LION AIR",1,"Reviewed June 18, 2018
","My next They changed my departure time and flight number with a last minute sms text.Then i notice that my original flight number is still on schedule, why they can change my flight plan without consulting me. So i arrived in airport early before departure, then they inform us that the flight was delay for 90 minutes.I planned..."
"59","rn588652778","incompetent staff",1,"Reviewed June 18, 2018
","First i use lion air to fly to Singapore with my wife with our visa, and the lion air staff confidently tell us to buy another ticket flight abroad, They said that the Singapore government will not permit us to enter Singapore, i ask them how they can state this while they are not the concerned official of Singapore and..."
"60","rn588364726","The best budget airlines in Indonesia",5,"Reviewed June 18, 2018
","I was shock when we flew with airbus. It is very nice experience though.Things that I like from Lion is that we are able to have the emergency seat upon our checking counter:)Still my favorite budget airlines :)"
"61","rn588277219","Regular Delay Airline",2,"Reviewed June 18, 2018
","This airline company is said be the most extensive armada in Indonesia. They have low cost (Lion air, Wings air) and standard air service (Batik air). This company also have sister company in Malaysia (Malindo air, Lion Langkawi), Thailand (Thai Lion air), and Australia? (Aussie Batik).The review every where is known that this airline have low on-time performance (OTP)..."
"62","rn588250747","The First Lion Air I Took with Smooth Take Off and Landing",3,"Reviewed June 18, 2018
","I flew with Lion Air about 4-5 times prior to this one and I had bad experience in all of them (delay, rough take off and landing, etc). This time I traveled as a group so I didn't make the booking nor exploring the website for check-in, etc, so I couldn't give any review for that part. This review will..."
"63","rn588245437","Improved",3,"Reviewed June 18, 2018
","As most of us aware that this airline always delay and never on time. However i glad that during my returned flight no delayed at all, both flight on schdule. Keep it up Lion."
"64","rn588086421","Extremely delayed flight",2,"Reviewed June 17, 2018
","We flew lion air from yogya to jakarta - the flight was delayed by 4+ hours and on checking with the locals found that this flight is delayed on most days. So if you are flying any of the domestic flights from jogja make sure to account in 5-6 hours for possible flight delays which seems to be a normal."
"65","rn587975203","Cheap travels within Indonesia, but beware of delays on this route",3,"Reviewed June 17, 2018
","This is a BIG company with routes all over this part of Asia. I used it many times before. Highly affordable, professional and kind staff.We had a 1,5 hour delay on the Makassar airport, without any explanation. According to the statistics that happens nearly every day on that route.My other (big) gripe is that I never got served..."
"66","rn587737186","Solid flight experience",4,"Reviewed June 15, 2018
","I flew with lion air twice now and I cannot say anything bad about the airline. For the first time I just went to the airport and booked my ticket on the day of departure and I got the same price that it was displaying online. My second flight I booked online before and they both were great and the..."
"67","rn587535795","Mr",3,"Reviewed June 14, 2018
","Most of the time I take Lion when I go back home to jakarta from Solo and vice versa. Normally I book a flight 3 to 5 days prior to my arrival or departure but this time I booked a flight in advance from jakarta to solo on 17 June with the price 796k but today when I check the..."
"68","rn586523003","Hardly King of the Air",2,"Reviewed June 10, 2018
","None to self. If given a choice don't fly Lion Air. We weren't as we were with a group so therefore no choice. Top tip. No charge for that one.An hour late. Pretty standard I believe.Poor management of passengers during loading. In England would call this a ""bun fight"".A dirty Boeing 737 900ER. Scuffed seats which had..."
"69","rn586395908","Delays and poor communication",1,"Reviewed June 10, 2018
","All Lion Air’s flights are delayed. While in Indonesia we traveled wit the same airlines. They were delayed for more than an hour. Never updated the flights screen. If we didn’t ask we would’ve never know of the delay. Initially, they indicated that the new flight time was about 1.3 hours delayed. After 1.3 hours, the flight was still delayed..."
"70","rn586108798","Budget Airline",3,"Reviewed June 8, 2018
","I fly Lion Air frequently as it's the cheapest I can find here in Indonesia. It's a budget airline so you get what you pay for. No legroom, no complementary meal or drink. Always delayed, never on time. They're pretty generous with the carry-on, which means you'll be fighting for a space in the overhead compartments. But hey, it's cheap."
"71","rn586086196","Lion Air",4,"Reviewed June 8, 2018
","I have been using Lion Air from Jakarta, Surabaya, Denpasar Surabaya, Denpasar Jakarta, Denpasar Lombok , The ticket prices are cheaper than other airline and quite save, the lest services they have is in flight meals services, they should provide some food for services when passengers needed during flying from one place to another. My last time using lion from..."
"72","rn585892749","If time is not an issue, then you can take Lion!",2,"Reviewed June 7, 2018
","Based on my experience on taking Lion Air, 50% is for sure delayed, and only 50% on time. And worse, they do not turn on the air conditioner until we are airborne, so it is so uncomfortable."
"73","rn585681677","Not recommended for Long Trips",3,"Reviewed June 6, 2018
","The trip was short and there was really no service from the in-flight attendants save for one flight attendant who happily smiled at me when i was getting into the plane. The flight was slightly delayed and no explanation was provided for the same. That's risky for someone with a connecting flight. Luckily i had moved my connecting flight to..."
"74","rn585306061","Short trip with a good memory",4,"Reviewed June 5, 2018
","I choosed to fly from Banda Aceh to Medan with lion air because the schedule time was great and the price was affordable. It was a pleasent flight with lion air. I think my last flight with lion air Indonesia was long long time ago, actually i always avoid to fly with lion air Indonesia because of horrible moments with..."
"75","rn584932041","Delay, delay, delay,",2,"Reviewed June 3, 2018
","I flew this route back and forth many times during my one year star on Nias Island. I believe once in over 10 flights did it depart on time. On two occasions I missed connecting flights and was put in a terrible hotel for the night. Avoid this airline if you can."
"76","rn584699236","Our flight was postponed two times, just like the other one with the same company a few days later. Friendly crew.",3,"Reviewed June 3, 2018
","Overall experience was quite positive, even though our flight was rescheduled for two times. It was a bit too cold during the flight but the crew was very friendly."
"77","rn583992030","Returned Flight to Jakarta",4,"Reviewed May 30, 2018
","Check in was good and smooth. Airline staff was helpful and co-operative. However, legroom was small. Flight announcements can be better improved."
"78","rn583788487","Very bad customer service",1,"Reviewed May 29, 2018
","So this is about to happen. My flight date is coming soon.Chronology:I booked return fares ticket from batikair.com recently. During payment after their system had payment problems, after they cut and creditted my credit card i didn’t received my confirmation and booking code.Afterwards i called their call centre for help, after 24 hours there is no news..."
"79","rn583109263","next time i'll take a ferry to Lombok",1,"Reviewed May 27, 2018
","the flight was delayed with 3 hours, when we arrived in Lombok it was already dark and my hotel shuttle left. I went to the office for help, but they only offered me a meal voucher . I needed transport, not food. Luckely a lady - from another airline helped me. My stay in Lombok did not start good. the..."
"80","rn582337235","Budget Airlines",5,"Reviewed May 23, 2018
","Budget airlines for those who loves travelers around indonesia. With the new plane, this plane is clean but we didn't get some meal in this plane."
"81","rn581894430","Poor service, evemt not too cheap price",2,"Reviewed May 22, 2018
","As soo many time, lion air made a delay flight schedule like ussually operational reasonBut for not profesional reason and neither delayed handlingFor many times, passangger must walk in and stay in the airplane sitt number, with no air cond , no compliment for more than 30menit in a 'really hot' air before leaving the runway airportIf..."
"82","rn581848969","Cheap flight...",5,"Reviewed May 21, 2018
","One of indonesian airlines with the cheap price...the services quite good...but many people complain about this airlines, but for me if you want excellent service just choose another airlines...keep it up Lion"
"83","rn581843504","Very resentful delay",2,"Reviewed May 21, 2018
","The departure schedule was 21.30. Lion never sent us SMS or email or another information to us regarding delay. I got delay approximately 4 hours. Finally the plane can go almost 02.00 and arrived at CGK almost 03.00. No compensation has been given to us."
"84","rn581841416","Maskapai LCC",3,"Reviewed May 21, 2018
","On time flight schedule, just need extra space between seats, and maybe free drink onboard. Good choice for 1-1.5 hour flight time"
"85","rn581834497","Not for Someone With a Tight Schedule",2,"Reviewed May 21, 2018
","This airlines is certainly not for someone with a tight schedule. My last trip in May 6 was once of the worse that I took with this airline. The question is : why I keep using this airline when I knew that their OTP was bad ? Honestly, its because of their extensive network and schedule, and their rock bottom..."
"86","rn581834488","Another delay",1,"Reviewed May 21, 2018
","After a way to Singapore with 4 hours delayed, I took a ferry to Batam center and then took another Lion from Batam to Jakarta, and guess what, it's another delay for another 4 hours. Luckily I wasn't arrive nearly midnight as my first flight."
"87","rn581834257","Delayed for 4 hours",1,"Reviewed May 21, 2018
","Took this flight, because.. Alright it was cheap, but flight delayed 4 hours while the flight itself only 1,5 hours. Unbelievable"
"88","rn581833323","Delay",1,"Reviewed May 21, 2018
","Our flight back to Jakarta was around 3 pm, however, the plane only flew at 7 pm. There were 2 flight delays & we were all flown at 7pm. When the passengers entered the cabin, it was chaotic as 3 passengers had 3 similar seat numbers. It seems that this was not the only case. Every day, there were delay...."
"89","rn581832653","budget airline",2,"Reviewed May 21, 2018
","lion air is the budget indonesian airline, bad check in services, often late from scheduled flight time."
"90","rn581832613","Lion (King) of Delay",2,"Reviewed May 21, 2018
","You should realize when you choose this flight it's mean you have to spare more hour to arrived in the destination. Even you have board to the aircraft, they can just ""stay calm"" for 'something' reason that can't explain to the attendance. Enjoy your flight."
"91","rn581823890","It's just a normal flight ",4,"Reviewed May 21, 2018
","We had booked lion air from Bali to Lombok in may for our rinjani trip. I must said there is some plus point and also bad point .Our flight delay 2hrs (don't know why ,they just told us the plane is still some where in Indonesia )so we have no choice and just walk around the airport . An..."
"92","rn581823389","Budget rate but with service like conventional carrier",3,"Reviewed May 21, 2018
","Lionair air ticket comprise of 20 kg check in baggage. However timing schedule is always delay. The seat is very cramp eapecially those who ub long leg. No room for leg indeed."
"93","rn581822739","It should be called lying air",1,"Reviewed May 21, 2018
","The 25 minute flight was 2 and 1/2 hours late. When they sent us to board transport to the plane the bus made us wait on the tarmac for another 30 minutes. What a joke."
"94","rn581819450","Budget Flight and so many flights",3,"Reviewed May 21, 2018
","Almost everytime I took Lion Air to and from Kuala Lumpur. Mostly they are ontime, But one of my flight on May 2018 were delayed 2 hours. Love taking Lion Air domestic or international because they have a lot of choice flight time. Service are just fair enough. So is the price."
"95","rn581817669","Delay everytime",1,"Reviewed May 21, 2018
","I was flying from kuala lumpur to jakarta last March. I had to choose lion air for the flight, because only lion air provide the time i need. That's was a third time i use that airplane company. Everytime i fly with lion air always has same experience, which this airplane company always delay and delay, never on time. So,lion..."
"96","rn581812403","Lion Air flight",4,"Reviewed May 21, 2018
","I travelled Lion Air from Bangkok (DMK) airport to Chiang Mai. The flight duration was 1hr 20mins and I found this airline suitable for a short trip time. The aircraft felt spacious as the ceilings are higher than other aircrafts I've been on. Staff onboard were friendly & spoke good English. USB ports are on the seat in front so..."
"97","rn581807937","Never again",1,"Reviewed May 21, 2018
","My friend told me after booking what LION air stands for ""Late Is Our Name"" and he wasn't wrong. My flight got delayed almost 2hrs,others flights got delayed several times how is that even possible because of this delay the hotel driver that was waiting for me left and I had to took a taxi, luggage delivery was extremely slow...."
"98","rn580934486","Don't waste your money",2,"Reviewed May 17, 2018
","Ticketing - terribleI tried to reschedule my flight but the airline charged terrible amount of money which is equal to the price of new ticket.Lounge - averageSimple refreshment was provided (coffee, tea, water, and some light snacks).Boarding - PoorThere was no arrangement about who should board first. After on board the plane waited about 1hr..."
"99","rn580770950","They ""make people wait""",2,"Reviewed May 17, 2018
","This is the first time I flight using this airlines. I know this airlines known for they delay. But this is the most suitable for me that time (in budget and schedule). At first, the flight was delay for half hour, then increase to 1 hour. They give no compensation at all. The legroom was too narrow for me (height..."
"100","rn580725525","Lion air experience",1,"Reviewed May 16, 2018
","Flight was at 20:50 on the 8th May 2018. I believe that ground staff knew that aircraft is delayed, but they did not say anything to passengers. Slowly changed the time on the display to 22:30 and at 22:30 they asked all passengers to come to the gate to have a refreshment. Then we asked they said flight is going..."
"101","rn580527528","Delayed",2,"Reviewed May 15, 2018
","I went to Lombok Island from Bali in last Wednesday. Actually the flight time at 4.50 pm, but the flight delayed till 6.20 pm :("
"102","rn579874656","Not recommended",2,"Reviewed May 13, 2018
","Usually I fly using another airlines, but this time the ticket was booked by my clients and no chance to reschedule or change it.The flight was delay for 1 hour, and no compensation at all.Better use another airlines if available."
"103","rn579862716","Delay",2,"Reviewed May 13, 2018
","We were waiting for one hour in airport. When the flight time is on, the lion staff inform in last minutes that the flight delayed one hour more. It's really not comfortable, we are very upset with the services"
"104","rn579749101","Cramped",2,"Reviewed May 12, 2018
","There are not many choices of airlines to travel to Lombok but will try to book another airline next time as we are elderly and found it very cramped"
"105","rn579556246","Friendly price",3,"Reviewed May 11, 2018
","Lion Air price is one of the cheapest in Indonesia. Their service is okay just like usual LCC services. They have lot of delays and famous of it but fortunately last time I flew with Lion Air it was on schedule. Great for you who looking for friendly price and doesn't care about its service. However, if you are on..."
"106","rn579447944","Wondering",3,"Reviewed May 11, 2018
","They do not service even a sold water nothing atall ,nice beautiful hostes elgant model but no water no food, and in my way back to jakerta from bali they took my power banck which very very expenive they said new reules , as long as there is no label in it but why in the way to bali they..."
"107","rn579431138","Cheap price but completely unreliable",1,"Reviewed May 11, 2018
","I’ve used the company 3 times, and in each those three times the flight was delayed, they overbooked the flight so they had to change me to another aircraft. I mean, I take the plane regularly but this is a first. Each time I flied with them I had a problem. I will gladly pay more to be on time..."
